x [m],v [m/s],t [s],x [m],v [m/s]
-2.663462e+00,-3.783757e+00,0.000000e+00,-2.663462e+00,-3.783757e+00
-2.663462e+00,-3.783757e+00,1.010101e-01,-2.994287e+00,-2.758493e+00
-2.663462e+00,-3.783757e+00,2.020202e-01,-3.219669e+00,-1.701596e+00
-2.663462e+00,-3.783757e+00,3.030303e-01,-3.338092e+00,-6.460909e-01
-2.663462e+00,-3.783757e+00,4.040404e-01,-3.351298e+00,3.766660e-01
-2.663462e+00,-3.783757e+00,5.050505e-01,-3.264075e+00,1.337837e+00
-2.663462e+00,-3.783757e+00,6.060606e-01,-3.083967e+00,2.211838e+00
-2.663462e+00,-3.783757e+00,7.070707e-01,-2.820911e+00,2.976940e+00
-2.663462e+00,-3.783757e+00,8.080808e-01,-2.486823e+00,3.615729e+00
-2.663462e+00,-3.783757e+00,9.090909e-01,-2.095150e+00,4.115405e+00
-2.663462e+00,-3.783757e+00,1.010101e+00,-1.660388e+00,4.467944e+00
-2.663462e+00,-3.783757e+00,1.111111e+00,-1.197604e+00,4.670097e+00
-2.663462e+00,-3.783757e+00,1.212121e+00,-7.219557e-01,4.723251e+00
-2.663462e+00,-3.783757e+00,1.313131e+00,-2.482390e-01,4.633161e+00
-2.663462e+00,-3.783757e+00,1.414141e+00,2.095374e-01,4.409566e+00
-2.663462e+00,-3.783757e+00,1.515152e+00,6.385295e-01,4.065697e+00
-2.663462e+00,-3.783757e+00,1.616162e+00,1.027382e+00,3.617716e+00
-2.663462e+00,-3.783757e+00,1.717172e+00,1.366496e+00,3.084089e+00
-2.663462e+00,-3.783757e+00,1.818182e+00,1.648223e+00,2.484921e+00
-2.663462e+00,-3.783757e+00,1.919192e+00,1.867002e+00,1.841278e+00
-2.663462e+00,-3.783757e+00,2.020202e+00,2.019420e+00,1.174516e+00
-2.663462e+00,-3.783757e+00,2.121212e+00,2.104207e+00,5.056232e-01
-2.663462e+00,-3.783757e+00,2.222222e+00,2.122170e+00,-1.453799e-01
-2.663462e+00,-3.783757e+00,2.323232e+00,2.076065e+00,-7.599921e-01
-2.663462e+00,-3.783757e+00,2.424242e+00,1.970420e+00,-1.321707e+00
-2.663462e+00,-3.783757e+00,2.525253e+00,1.811313e+00,-1.816406e+00
-2.663462e+00,-3.783757e+00,2.626263e+00,1.606114e+00,-2.232660e+00
-2.663462e+00,-3.783757e+00,2.727273e+00,1.363203e+00,-2.561941e+00
-2.663462e+00,-3.783757e+00,2.828283e+00,1.091668e+00,-2.798728e+00
-2.663462e+00,-3.783757e+00,2.929293e+00,8.010046e-01,-2.940526e+00
-2.663462e+00,-3.783757e+00,3.030303e+00,5.008083e-01,-2.987793e+00
-2.663462e+00,-3.783757e+00,3.131313e+00,2.004864e-01,-2.943776e+00
-2.663462e+00,-3.783757e+00,3.232323e+00,-9.101348e-02,-2.814283e+00
-2.663462e+00,-3.783757e+00,3.333333e+00,-3.654470e-01,-2.607377e+00
-2.663462e+00,-3.783757e+00,3.434343e+00,-6.154839e-01,-2.333032e+00
-2.663462e+00,-3.783757e+00,3.535354e+00,-8.348816e-01,-2.002738e+00
-2.663462e+00,-3.783757e+00,3.636364e+00,-1.018617e+00,-1.629084e+00
-2.663462e+00,-3.783757e+00,3.737374e+00,-1.162976e+00,-1.225330e+00
-2.663462e+00,-3.783757e+00,3.838384e+00,-1.265600e+00,-8.049789e-01
-2.663462e+00,-3.783757e+00,3.939394e+00,-1.325488e+00,-3.813643e-01
-2.663462e+00,-3.783757e+00,4.040404e+00,-1.342964e+00,3.274125e-02
-2.663462e+00,-3.783757e+00,4.141414e+00,-1.319595e+00,4.254770e-01
-2.663462e+00,-3.783757e+00,4.242424e+00,-1.258089e+00,7.862024e-01
-2.663462e+00,-3.783757e+00,4.343434e+00,-1.162154e+00,1.105754e+00
-2.663462e+00,-3.783757e+00,4.444444e+00,-1.036344e+00,1.376646e+00
-2.663462e+00,-3.783757e+00,4.545455e+00,-8.858754e-01,1.593210e+00
-2.663462e+00,-3.783757e+00,4.646465e+00,-7.164421e-01,1.751673e+00
-2.663462e+00,-3.783757e+00,4.747475e+00,-5.340230e-01,1.850179e+00
-2.663462e+00,-3.783757e+00,4.848485e+00,-3.446887e-01,1.888748e+00
-2.663462e+00,-3.783757e+00,4.949495e+00,-1.544169e-01,1.869184e+00
-2.663462e+00,-3.783757e+00,5.050505e+00,3.108131e-02,1.794933e+00
-2.663462e+00,-3.783757e+00,5.151515e+00,2.065182e-01,1.670898e+00
-2.663462e+00,-3.783757e+00,5.252525e+00,3.671660e-01,1.503224e+00
-2.663462e+00,-3.783757e+00,5.353535e+00,5.089701e-01,1.299053e+00
-2.663462e+00,-3.783757e+00,5.454545e+00,6.286367e-01,1.066261e+00
-2.663462e+00,-3.783757e+00,5.555556e+00,7.236933e-01,8.131882e-01
-2.663462e+00,-3.783757e+00,5.656566e+00,7.925217e-01,5.483685e-01
-2.663462e+00,-3.783757e+00,5.757576e+00,8.343646e-01,2.802650e-01
-2.663462e+00,-3.783757e+00,5.858586e+00,8.493052e-01,1.702141e-02
-2.663462e+00,-3.783757e+00,5.959596e+00,8.382236e-01,-2.337639e-01
-2.663462e+00,-3.783757e+00,6.060606e+00,8.027314e-01,-4.652381e-01
-2.663462e+00,-3.783757e+00,6.161616e+00,7.450875e-01,-6.714604e-01
-2.663462e+00,-3.783757e+00,6.262626e+00,6.680992e-01,-8.475347e-01
-2.663462e+00,-3.783757e+00,6.363636e+00,5.750113e-01,-9.897036e-01
-2.663462e+00,-3.783757e+00,6.464646e+00,4.693883e-01,-1.095404e+00
-2.663462e+00,-3.783757e+00,6.565657e+00,3.549923e-01,-1.163285e+00
-2.663462e+00,-3.783757e+00,6.666667e+00,2.356611e-01,-1.193189e+00
-2.663462e+00,-3.783757e+00,6.767677e+00,1.151909e-01,-1.186095e+00
-2.663462e+00,-3.783757e+00,6.868687e+00,-2.775716e-03,-1.144037e+00
-2.663462e+00,-3.783757e+00,6.969697e+00,-1.148497e-01,-1.069989e+00
-2.663462e+00,-3.783757e+00,7.070707e+00,-2.179845e-01,-9.677311e-01
-2.663462e+00,-3.783757e+00,7.171717e+00,-3.095498e-01,-8.416973e-01
-2.663462e+00,-3.783757e+00,7.272727e+00,-3.873893e-01,-6.968109e-01
-2.663462e+00,-3.783757e+00,7.373737e+00,-4.498613e-01,-5.383142e-01
-2.663462e+00,-3.783757e+00,7.474747e+00,-4.958628e-01,-3.715965e-01
-2.663462e+00,-3.783757e+00,7.575758e+00,-5.248354e-01,-2.020261e-01
-2.663462e+00,-3.783757e+00,7.676768e+00,-5.367552e-01,-3.479239e-02
-2.663462e+00,-3.783757e+00,7.777778e+00,-5.321072e-01,1.252408e-01
-2.663462e+00,-3.783757e+00,7.878788e+00,-5.118456e-01,2.736635e-01
-2.663462e+00,-3.783757e+00,7.979798e+00,-4.773428e-01,4.066284e-01
-2.663462e+00,-3.783757e+00,8.080808e+00,-4.303274e-01,5.209382e-01
-2.663462e+00,-3.783757e+00,8.181818e+00,-3.728154e-01,6.141082e-01
-2.663462e+00,-3.783757e+00,8.282828e+00,-3.070361e-01,6.844057e-01
-2.663462e+00,-3.783757e+00,8.383838e+00,-2.353551e-01,7.308642e-01
-2.663462e+00,-3.783757e+00,8.484848e+00,-1.601973e-01,7.532746e-01
-2.663462e+00,-3.783757e+00,8.585859e+00,-8.397149e-02,7.521541e-01
-2.663462e+00,-3.783757e+00,8.686869e+00,-8.999799e-03,7.286949e-01
-2.663462e+00,-3.783757e+00,8.787879e+00,6.254742e-02,6.846957e-01
-2.663462e+00,-3.783757e+00,8.888889e+00,1.287087e-01,6.224780e-01
-2.663462e+00,-3.783757e+00,8.989899e+00,1.877794e-01,5.447917e-01
-2.663462e+00,-3.783757e+00,9.090909e+00,2.383500e-01,4.547114e-01
-2.663462e+00,-3.783757e+00,9.191919e+00,2.793337e-01,3.555295e-01
-2.663462e+00,-3.783757e+00,9.292929e+00,3.099822e-01,2.506472e-01
-2.663462e+00,-3.783757e+00,9.393939e+00,3.298922e-01,1.434680e-01
-2.663462e+00,-3.783757e+00,9.494949e+00,3.389998e-01,3.729600e-02
-2.663462e+00,-3.783757e+00,9.595960e+00,3.375658e-01,-6.475736e-02
-2.663462e+00,-3.783757e+00,9.696970e+00,3.261520e-01,-1.598565e-01
-2.663462e+00,-3.783757e+00,9.797980e+00,3.055899e-01,-2.455125e-01
-2.663462e+00,-3.783757e+00,9.898990e+00,2.769422e-01,-3.196402e-01
-2.663462e+00,-3.783757e+00,1.000000e+01,2.414600e-01,-3.806005e-01
